Dt Star Cinemas,Rise Of The Guardians,10:20am 150 Rs|1:50pm 210 Rs|6:30pm 190 Rs|9:10pm 220 Rs|,140,yes,yes
Pvr Ambience - Gold,Rise Of The Guardians,10:00am 220 Rs|,140,yes,yes
Big Cinemas,Rise Of The Guardians,10:00am 150 Rs|6:00pm 170 Rs|,210,yes,yes
Dt Multiplex,Rise Of The Guardians,1:40 230 Rs|6:20pm 180 Rs|,180,yes,yes
Dt City Centre,Rise Of The Guardians,10:50am 160 Rs|6:15pm 220 Rs|,180,yes,yes
Pvr Ambience - Premiere,Rise Of The Guardians,1:15 210 Rs|5:45pm 240 Rs|,180,yes,yes
Wave,Rise Of The Guardians,10:20am 180 Rs|6:00pm 150 Rs|,280,yes,yes
Satyam Cineplexes,Life Of Pi,10:00pm 190 Rs|,180,yes,yes
Big Cinemas,Life Of Pi,11:00am 230 Rs|,180,yes,yes
Dt Star Cinemas,Life Of Pi,12:20 200 Rs|8:20pm 220 Rs|,140,yes,yes
Wave,Life Of Pi,12:15 170 Rs|7:50pm 150 Rs|,280,yes,yes
Dt Star Cinemas,Life Of Pi,12:25 170 Rs|3:55pm 220 Rs|8:35pm 240 Rs|,280,yes,yes
Pvr Select Citywalk - Primere,Life Of Pi,10:45am 220 Rs|6:30pm 200 Rs|,280,yes,yes
Delite Cinema,Life Of Pi,11:30am 220 Rs|1:30pm 220 Rs|3:30pm 230 Rs|6:30pm 150 Rs|9:30pm 210 Rs|,140,yes,yes
Cinemax Pacific Mall,Life Of Pi,9:00am 190 Rs|4:45pm 150 Rs|10:45pm 150 Rs|,210,yes,yes
Pvr Saket - Delhi,Life Of Pi,10:40pm 240 Rs|,140,yes,yes
Pvr Gurgaon Mainstream - Gurgaon,Life Of Pi,12:30 220 Rs|8:15pm 150 Rs|,140,yes,yes
Satyam Cineplexes,Life Of Pi,6:30pm 240 Rs|,180,yes,yes
G3s Cinema,Life Of Pi,4:45pm 230 Rs|,180,yes,yes
Dt City Centre,Life Of Pi,3:40pm 170 Rs|,280,yes,yes
Pvr Ambience - Premiere,Life Of Pi,3:15 180 Rs|10:55pm 170 Rs|,140,yes,yes
Pvr Naraina - Delhi,Life Of Pi,9:40am 180 Rs|,210,yes,yes
Big Cinemas,Life Of Pi,10:30am 220 Rs|,180,yes,yes
Pvr Prashant Vihar,Dabangg 2,10:00am 200 Rs|11:00am 180 Rs|12:50pm 190 Rs|1:50pm 230 Rs|3:40pm 210 Rs|4:40pm 210 Rs|6:30pm 200 Rs|7:30pm 210 Rs|9:20pm 150 Rs|10:20pm 150 Rs|,280,yes,yes
Satyam Cineplexes,Dabangg 2,9:45am 240 Rs|10:30am 200 Rs|11:10am 150 Rs|12:20pm 200 Rs|1:00pm 170 Rs|1:45pm 180 Rs|2:15pm 190 Rs|3:00pm 160 Rs|3:35pm 220 Rs|4:25pm 160 Rs|5:35pm 240 Rs|6:10pm 160 Rs|7:00pm 150 Rs|7:30pm 250 Rs|8:15pm 220 Rs|8:45pm 170 Rs|9:40pm 160 Rs|10:45pm 200 Rs|11:15pm 190 Rs|,280,yes,yes
Vishal Cinema,Dabangg 2,12:00 200 Rs|3:00pm 200 Rs|6:15pm 230 Rs|9:20pm 250 Rs|,280,yes,yes
Fun Cinemas,Dabangg 2,9:15am 180 Rs|10:00am 240 Rs|10:35am 150 Rs|12:00pm 160 Rs|12:45pm 200 Rs|1:25pm 200 Rs|2:50pm 240 Rs|3:30pm 190 Rs|4:15pm 220 Rs|5:40pm 200 Rs|6:15pm 200 Rs|7:05pm 230 Rs|8:30pm 190 Rs|9:00pm 240 Rs|9:55pm 200 Rs|11:15pm 220 Rs|11:50pm 150 Rs|,180,yes,yes
Wave,Dabangg 2,10:00am 240 Rs|10:30am 190 Rs|12:30pm 180 Rs|1:00pm 240 Rs|3:00pm 190 Rs|3:30pm 180 Rs|4:45pm 180 Rs|5:30pm 220 Rs|6:00pm 170 Rs|7:20pm 160 Rs|8:00pm 240 Rs|8:40pm 240 Rs|10:00pm 240 Rs|10:30pm 220 Rs|11:20pm 190 Rs|,280,yes,yes
Shiela Cinema,Dabangg 2,12:30 210 Rs|3:30pm 150 Rs|6:30pm 240 Rs|9:30pm 200 Rs|,280,yes,yes
Dt Star Cinemas,Dabangg 2,10:00am 180 Rs|10:30am 210 Rs|11:00am 150 Rs|11:30am 190 Rs|12:45pm 150 Rs|1:20pm 230 Rs|1:50pm 180 Rs|2:20pm 160 Rs|3:00pm 230 Rs|3:30pm 220 Rs|4:10pm 200 Rs|4:40pm 150 Rs|5:10pm 200 Rs|6:15pm 190 Rs|7:00pm 210 Rs|7:30pm 210 Rs|8:00pm 160 Rs|9:00pm 210 Rs|9:50pm 170 Rs|10:20pm 160 Rs|10:50pm 170 Rs|11:15pm 220 Rs|11:45pm 250 Rs|,180,yes,yes
Akash Cinema,Dabangg 2,12:30 150 Rs|3:30pm 180 Rs|6:30pm 150 Rs|9:30pm 220 Rs|,210,yes,yes
Eros One,Dabangg 2,10:00am 210 Rs|12:30pm 200 Rs|3:30pm 210 Rs|6:30pm 200 Rs|9:30pm 240 Rs|,280,yes,yes
Satyam Cineplexes,Dabangg 2,9:45am 240 Rs|10:30am 180 Rs|11:10am 160 Rs|12:20pm 240 Rs|1:00pm 240 Rs|1:45pm 230 Rs|3:00pm 170 Rs|3:35pm 180 Rs|4:00pm 150 Rs|4:25pm 180 Rs|5:35pm 160 Rs|6:10pm 180 Rs|7:00pm 220 Rs|8:15pm 190 Rs|8:45pm 150 Rs|9:15pm 190 Rs|9:40pm 230 Rs|10:45pm 240 Rs|11:15pm 240 Rs|,180,yes,yes
M2k,Dabangg 2,9:30am 200 Rs|10:50am 150 Rs|12:10pm 230 Rs|1:30pm 210 Rs|2:50pm 200 Rs|4:15pm 150 Rs|5:40pm 200 Rs|7:00pm 220 Rs|8:25pm 210 Rs|9:45pm 210 Rs|11:05pm 170 Rs|,140,yes,yes
Samrat Cinema,Dabangg 2,12:30 150 Rs|3:30pm 220 Rs|6:30pm 190 Rs|9:30pm 240 Rs|,140,yes,yes
Batra Cinema,Dabangg 2,12:30 160 Rs|3:30pm 230 Rs|6:30pm 150 Rs|9:30pm 200 Rs|,280,yes,yes
Fun Cinemas,Dabangg 2,9:15am 220 Rs|10:00am 150 Rs|10:35am 210 Rs|12:00pm 220 Rs|12:45pm 170 Rs|1:25pm 170 Rs|2:50pm 190 Rs|3:30pm 240 Rs|4:15pm 150 Rs|5:40pm 240 Rs|6:15pm 150 Rs|7:05pm 150 Rs|8:30pm 220 Rs|9:00pm 220 Rs|9:55pm 230 Rs|11:15pm 180 Rs|11:50pm 160 Rs|,280,yes,yes
M2k,Dabangg 2,10:00am 170 Rs|10:50am 190 Rs|11:40am 180 Rs|12:30pm 150 Rs|1:15pm 230 Rs|2:15pm 200 Rs|3:05pm 240 Rs|3:50pm 170 Rs|4:50pm 200 Rs|5:45pm 220 Rs|6:25pm 230 Rs|7:25pm 240 Rs|8:20pm 230 Rs|9:00pm 230 Rs|10:00pm 230 Rs|11:00pm 180 Rs|,210,yes,yes
Abhishek Cineplex,Dabangg 2,10:00am 240 Rs|1:00pm 150 Rs|4:00pm 240 Rs|7:00pm 180 Rs|10:00pm 210 Rs|,140,yes,yes
Satyam Cineplexes,Talaash,11:30am 180 Rs|,180,yes,yes
Dt Star Cinemas,Talaash,3:15 190 Rs|10:50pm 170 Rs|,180,yes,yes
Wave,Talaash,11:00am 150 Rs|,140,yes,yes
Dt Star Cinemas,Talaash,11:45am 230 Rs|2:30pm 170 Rs|8:05pm 210 Rs|,180,yes,yes
Big Cinemas,Talaash,3:50pm 160 Rs|,280,yes,yes
Spice Cinemas,Talaash,3:45pm 180 Rs|,180,yes,yes
Pvr Gurgaon Mainstream - Gurgaon,Talaash,9:20pm 180 Rs|,280,yes,yes
Pvr Saket - Delhi,Talaash,2:45pm 220 Rs|,180,yes,yes
Satyam Cineplexes,Talaash,4:00pm 190 Rs|,140,yes,yes
Satyam Cineplexes,Talaash,1:20pm 170 Rs|,210,yes,yes
Movietime,Talaash,10:00am 170 Rs|3:10pm 190 Rs|,210,yes,yes
Dt Multiplex,Talaash,10:25am 230 Rs|,180,yes,yes
Dt City Centre,Talaash,4:25pm 210 Rs|,210,yes,yes
Wave,Talaash,4:00 210 Rs|10:00pm 190 Rs|,140,yes,yes
Pvr Ambience - Premiere,Talaash,3:25pm 170 Rs|,280,yes,yes
Wave,Talaash,10:00pm 160 Rs|,210,yes,yes
5d Bonzai Adventure,Raaz 3,12:00am 240 Rs|1:00am 210 Rs|2:00am 170 Rs|3:00pmam 180 Rs|12:00am 210 Rs|,280,yes,yes
5d Bonzai Adventure,Hate Story,4:00pm 200 Rs|,140,yes,yes
Satyam Cineplexes,The Hobbit: An Unexpected Journey,10:55pm 190 Rs|,280,yes,yes
Big Cinemas,The Hobbit: An Unexpected Journey,3:35pm 190 Rs|,140,yes,yes
Dt Star Cinemas,The Hobbit: An Unexpected Journey,2:55 230 Rs|10:55pm 190 Rs|,180,yes,yes
Wave,The Hobbit: An Unexpected Journey,2:45 210 Rs|10:20pm 190 Rs|,180,yes,yes
Spice Cinemas,The Hobbit: An Unexpected Journey,4:40pm 190 Rs|,140,yes,yes
Pvr Select Citywalk - Primere,The Hobbit: An Unexpected Journey,1:15 170 Rs|10:55pm 180 Rs|,210,yes,yes
Cinemax Pacific Mall,The Hobbit: An Unexpected Journey,11:15am 170 Rs|7:15pm 220 Rs|,140,yes,yes
Pvr Saket - Delhi,The Hobbit: An Unexpected Journey,7:30pm 210 Rs|,140,yes,yes
Pvr Gurgaon Mainstream - Gurgaon,The Hobbit: An Unexpected Journey,3:00 190 Rs|10:45pm 180 Rs|,280,yes,yes
Dt Star Cinemas,The Hobbit: An Unexpected Journey,10:30am 180 Rs|5:50pm 170 Rs|11:10pm 200 Rs|,140,yes,yes
Big Cinemas,The Hobbit: An Unexpected Journey,2:45pm 170 Rs|,140,yes,yes
Fun Cinemas,The Hobbit: An Unexpected Journey,12:30pm 200 Rs|,140,yes,yes
Pvr Ambience - Premiere,The Hobbit: An Unexpected Journey,10:00am 200 Rs|7:45pm 170 Rs|,140,yes,yes
Wave,The Hobbit: An Unexpected Journey,2:45 160 Rs|10:20pm 150 Rs|,210,yes,yes
Pvr Gurgaon Mainstream - Gurgaon,The Twilight Saga: Breaking Dawn - Part 2,10:20am 160 Rs|,210,yes,yes
Pvr Select Citywalk - Primere,The Twilight Saga: Breaking Dawn - Part 2,10:20am 240 Rs|,280,yes,yes
Pvr Ambience - Premiere,The Twilight Saga: Breaking Dawn - Part 2,10:30am 160 Rs|,180,yes,yes
Movietime,The Twilight Saga: Breaking Dawn - Part 2,9:40am 230 Rs|,140,yes,yes
